,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tea_ttt1_Control,1,14,2,2,7,1,1,1,1,4,11,13,4,3,3
Tra_ttt1_DN,1,15,2,2,5,3,2,3,3,7,10,13,6,6,6
Tea_ttt2_Control,1,14,2,2,3,2,1,1,1,4,9,13,4,6,3
Tea_ttt3_Control,2,14,1,2,3,2,2,1,2,4,7,7,5,6,3
Tra_ttt2_DN,1,15,2,2,9,2,1,1,1,3,10,25,11,6,13
Tea_ttt4_Control,1,16,2,2,5,2,2,1,1,5,4,12,5,4,5
Tea_ttt5_Control,1,13,1,1,1,1,1,1,1,7,3,7,4,3,3
Tea_ttt6_Control,2,16,2,2,3,2,1,1,1,4,5,16,4,4,11
Tra_ttt3_DN,2,15,2,2,10,3,1,1,1,6,15,21,4,6,13
Tra_ttt4_DN,2,16,2,1,10,3,1,1,1,7,12,16,4,12,3
Tea_ttt7_Control,2,14,1,1,1,2,2,1,1,4,5,8,4,9,3
Tea_ttt8_Control,1,15,2,1,4,2,1,1,1,5,7,12,10,9,6
Tra_ttt5_DN,1,16,2,2,6,5,5,5,1,6,16,34,18,15,14
Tra_ttt6_DN,1,14,1,1,2,2,1,1,1,3,11,10,4,3,3
Tea_ttt9_Control,1,13,1,1,2,2,1,1,1,6,7,17,4,6,8
Tea_ttt10_Control,2,15,2,2,5,1,1,1,1,6,3,11,5,6,3
Tra_ttt7_DN,2,13,1,1,2,5,5,5,1,1,17,7,4,3,3
Tra_ttt8_DN,2,15,2,1,6,2,1,1,1,3,17,26,7,6,15
Tea_ttt11_Control,1,13,1,1,1,1,1,1,1,6,2,7,4,4,6
Tea_ttt12_Control,2,14,1,1,1,1,1,1,1,6,8,11,5,6,3
Tra_ttt9_DN,2,14,2,2,5,2,1,1,2,6,8,26,14,6,13
Tea_ttt13_Control,1,14,2,2,3,2,1,1,2,5,5,19,4,12,7
Tra_ttt10_DN,1,16,2,2,10,2,1,1,2,3,8,21,13,12,10
Tea_ttt14_Control,2,14,1,1,0,1,1,1,1,7,0,7,4,4,4
Tea_ttt15_Control,2,15,2,2,2,2,1,1,1,5,9,12,4,3,8
Tra_ttt11_DN,2,17,2,2,2,4,4,4,1,6,23,20,11,11,7
Tea_ttt16_Control,1,14,2,1,1,1,1,1,1,6,4,12,5,3,3
Tea_ttt17_Control,1,14,1,1,4,1,1,1,1,6,5,9,5,4,3
Tea_ttt18_Control,1,13,1,1,1,1,1,1,1,5,3,11,4,6,5
Tea_ttt19_Control,2,16,2,2,2,1,1,1,1,4,3,11,4,3,5
Tea_ttt20_Control,2,14,1,1,3,5,2,1,3,5,9,10,4,14,8
Tra_ttt12_DN,1,16,2,2,10,1,1,1,1,5,5,10,4,4,4
Tra_ttt13_DN,1,15,2,2,1,5,4,3,1,4,8,23,16,6,11
Tra_ttt14_DN,2,14,1,1,1,2,2,2,1,4,14,12,7,7,4
Tra_ttt15_DN,2,13,1,1,2,1,1,1,1,5,11,13,4,8,3
Tea_ttt21_Control,2,15,2,2,4,3,1,1,1,5,7,14,7,5,6
Tra_ttt16_DN,2,16,2,2,3,2,3,2,1,4,12,11,5,6,8
Tra_ttt17_DN,2,16,2,2,2,2,1,1,1,6,5,11,6,6,6
Tea_ttt22_Control,1,16,2,1,5,1,1,1,1,5,7,15,4,4,9
Tra_ttt18_DN,1,15,2,2,9,5,2,1,5,5,14,21,14,15,13
Tea_ttt23_Control,2,15,2,2,2,2,1,1,1,6,4,8,4,5,3
Tra_ttt19_DN,1,16,2,2,10,2,1,1,1,4,7,24,5,13,8
Tea_ttt24_Control,2,15,2,2,4,1,1,1,1,7,5,19,11,11,7
Tra_ttt20_DN,2,17,2,2,2,2,1,2,1,5,6,16,4,7,4
Tra_ttt21_DN,1,17,2,1,5,1,2,1,1,5,9,17,8,4,5
Tea_ttt25_Control,2,17,2,2,2,1,1,1,1,6,5,7,4,3,3
Tra_ttt22_DN,1,16,2,2,4,1,1,1,1,4,8,35,6,15,11
Tea_ttt26_Control,2,15,2,2,6,1,1,1,1,6,10,17,7,7,6
Tea_ttt27_Control,2,14,1,1,2,2,2,2,1,6,11,9,12,14,7
Tra_ttt23_DN,2,16,2,2,3,4,2,2,1,4,13,23,14,10,9
Tea_ttt28_Control,1,13,1,2,2,1,1,1,1,5,1,7,4,3,3
Tra_ttt24_DN,1,16,2,2,8,1,1,1,1,4,10,18,8,9,7
Tra_ttt25_DN,1,13,2,2,9,5,5,1,1,5,1,26,20,15,15
Tra_ttt26_DN,1,16,2,1,6,1,1,1,1,5,11,11,4,4,7
Tra_ttt27_DN,1,16,2,1,5,3,1,1,1,4,6,13,12,3,5
Tea_ttt29_Control,1,13,1,1,0,1,1,1,1,7,0,7,4,3,3
Tra_ttt28_DN,2,15,2,1,10,5,5,5,1,4,9,7,4,3,3
Tra_ttt29_DN,1,14,2,2,3,3,2,1,1,5,7,14,8,14,4
Tra_ttt30_DN,1,14,1,1,10,2,2,2,3,5,0,21,12,9,9
Tea_ttt30_Control,1,14,1,1,1,1,1,1,1,5,4,7,4,3,3
Tea_ttt31_Control,2,13,1,2,5,1,1,1,1,6,3,9,4,6,4
Tra_ttt31_DN,2,14,1,1,2,5,2,2,1,5,11,20,7,5,13
Tra_ttt32_DN,1,17,2,2,10,3,1,2,1,6,11,19,12,12,15
Tra_ttt33_DN,1,16,2,1,10,2,1,1,1,4,10,18,6,8,8
Tra_ttt34_DN,1,16,2,1,10,1,2,1,1,6,3,10,4,12,3
Tra_ttt35_DN,2,16,2,2,6,2,1,1,1,4,9,12,5,11,5
Tea_ttt32_Control,2,16,2,2,10,3,1,2,1,5,4,21,5,4,8
Tra_ttt36_DN,2,15,2,2,1,5,5,5,1,4,9,7,4,3,3
Tea_ttt33_Control,2,15,2,2,1,5,1,1,1,6,6,11,4,3,5
Tra_ttt37_DN,2,16,2,2,5,3,1,1,1,4,10,17,5,10,7
Tea_ttt34_Control,2,13,1,1,2,1,1,1,1,6,2,10,4,4,4
Tea_ttt35_Control,1,13,1,1,2,2,1,1,1,6,5,9,4,5,3
Tra_ttt38_DN,2,15,2,1,4,5,5,4,1,4,11,10,7,10,3
Tea_ttt36_Control,2,14,1,1,2,3,1,2,1,4,14,23,10,7,8
Tra_ttt39_DN,2,16,2,1,10,2,2,2,2,5,5,15,12,8,7
Tea_ttt37_Control,2,15,2,2,10,4,2,1,1,6,13,24,9,12,8
Tra_ttt40_DN,1,14,1,2,6,2,1,1,1,4,13,19,4,5,5
Tra_ttt41_DN,1,16,2,2,10,3,2,1,1,5,12,21,7,4,6
Tra_ttt42_DN,2,16,2,2,10,3,1,1,1,5,9,22,5,6,7
